,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
4,SZ301520,万邦医药,--,+20.01%,54.22,+9.04,54.21,54.22,17799799,907872410,2400↓,+0.00%,+19.77%,+7.12,54.44%,-78.29,5051751800,1772909600,35.09%,--,--,+0.00%,--,--,--,--,--,8568202,9231597,0.928,--,无,有,-0.38,1.26,207.7,-261782,3.33,-0.003,医疗研发外包,医疗服务,45.18,45.27,+0.20%,1.07%,54.22,45.27,+42.57%,+91.86%,+116.10%,+92.52%,19.81%,1900,59957,38756,--,-0.94,--,93171373,32698443,-1804235亿,-102.2%,16.27,0,702.29,--,--,--,20230925,
,SZ300534,陇神戎发,--,+20.00%,9.00,+1.50,9.00,--,52888100,461973280,100↓,+0.00%,+15.24%,+3.53,17.51%,+100.00,2730105000,2718463400,99.57%,17234550,1914950,+0.00%,--,--,--,--,--,31288150,21599950,1.45,--,无,有,3.84,5.26,55.30,24661503,3.72,0.081,中药,中药,7.50,7.81,+4.13%,0.05%,9.00,7.79,+18.42%,+24.31%,+18.11%,-4.86%,16.13%,1914950,0,28806,--,23.62,--,303345000,302051490,38307707亿,28.18%,2.42,4,60.78,--,--,--,20160913,
,SZ300214,日科化学,--,+20.00%,12.30,+2.05,12.30,--,6360034,78228418,10000↓,+0.00%,+0.00%,+0.00,1.37%,+100.00,5718302200,5718302200,100.00%,95736632,7783466,+0.00%,--,--,--,--,--,6360034,0,--,--,无,无,0.64,0.22,,2077680,2.39,0.005,其他化学制品,化学制品,10.25,12.30,+20.00%,0.28%,12.30,12.30,+20.47%,+71.55%,+57.69%,+84.13%,0.00%,7783466,0,4863,--,38.84,--,464902610,464902610,5203141亿,124.1%,5.15,3,-30.94,--,--,--,20110511,
4,SZ301310,鑫宏业,--,+17.39%,68.84,+10.20,68.84,68.86,23833446,1621500900,800↑,-0.55%,+14.09%,+1.37,39.08%,+89.68,13145604900,4198271000,31.94%,--,--,-0.55%,--,--,--,--,--,13486606,10346840,1.30,--,无,无,0.83,3.05,97.23,36952840,5.55,0.194,汽车电子电气系统,汽车零部件,58.64,60.34,+2.90%,0.12%,70.37,60.34,+33.44%,+18.67%,+126.08%,+125.70%,17.10%,2200,100,70661,--,2.17,--,190958820,60985924,40455866亿,7.33%,12.40,3,-447.98,--,--,--,20230602,
4,SZ300039,上海凯宝,--,+15.81%,5.20,+0.71,5.19,5.20,91298017,458357010,1500↑,+0.00%,+15.30%,+4.00,9.96%,-26.09,5439200000,4768016400,87.66%,--,--,+0.00%,--,--,--,--,--,36262335,55035682,0.659,--,无,无,-0.11,6.05,20.99,64865915,1.16,0.062,中药,中药,4.49,4.51,+0.45%,0.01%,5.27,4.50,+13.79%,+18.72%,+16.59%,-12.31%,17.15%,620300,525781,53816,--,-2.08,--,1046000000,916926230,77057393亿,-23.05%,4.47,3,29.60,--,--,--,20100108,
32,SH688176,亚虹医药-U,--,+14.84%,14.70,+1.90,14.70,14.71,53659400,748081880,500↓,+0.07%,+16.95%,+5.93,9.38%,+32.88,8411224900,8411224900,100.00%,--,--,+0.07%,--,--,--,--,--,22456262,31203138,0.720,--,无,无,1.19,1.77,,-112398505,5.72,-0.196,化学制剂,化学制药,12.80,12.57,-1.80%,0.01%,15.10,12.57,+20.20%,+43.84%,+42.72%,+27.72%,19.77%,55843,7093,51510,+0.06,17.66,--,572192170,572192170,-114384224亿,-34.56%,2.57,4,-236.68,--,--,--,20220107,
4,SZ301092,争光股份,--,+11.42%,61.28,+6.28,61.28,61.29,16420358,989736570,1000↓,+0.13%,+13.67%,+1.83,26.95%,+25.18,8244322200,3734368500,45.30%,--,--,+0.13%,--,--,--,--,--,8090178,8330180,0.971,--,无,无,0.22,1.96,87.97,17681635,4.17,0.130,合成树脂,塑料制品,55.00,53.91,-1.98%,0.46%,65.65,53.90,+14.12%,+52.59%,+31.67%,+75.59%,21.36%,942,200,52836,--,1.20,--,134535280,60939434,19249759亿,-27.05%,14.70,3,40.80,--,--,--,20211102,
4,SZ301277,新天地,--,+10.84%,10.94,+1.07,10.93,10.94,17278483,184959480,2100↓,+0.00%,+12.67%,+2.38,4.41%,-47.89,4289337700,4289337700,100.00%,--,--,+0.00%,--,--,--,--,--,7361061,9917422,0.742,--,无,无,0.24,1.97,42.56,36100435,2.70,0.092,原料药,化学制药,9.87,9.71,-1.62%,0.01%,11.17,9.71,+13.60%,+21.15%,+17.63%,-5.61%,14.79%,14200,174000,21482,--,16.48,--,392078400,392078400,41718248亿,-36.19%,4.05,4,-53.34,--,--,--,20221116,
4,SH600664,哈药股份,--,+10.09%,3.71,+0.34,3.71,--,201366440,737706220,500↓,+0.00%,+5.70%,+1.38,8.00%,+100.00,9343671600,9343671600,100.00%,80657734,21740629,+0.00%,--,--,--,--,--,113407140,87959300,1.29,--,无,有,0.41,3.57,30.16,408733200,1.59,0.060,化学制剂,化学制药,3.37,3.51,+4.15%,0.36%,3.71,3.45,+16.67%,+20.45%,+17.41%,+7.54%,7.72%,21740629,--,44990,+0.04,4.91,--,2518509900,2518509900,206432430亿,-24.33%,2.33,0,-28.43,--,--,--,19930629,
32,SH688206,概伦电子,--,+10.07%,51.91,+4.75,51.90,51.91,26228028,1320754540,200↓,+0.02%,+14.67%,+3.29,6.01%,-12.26,22662807000,22662807000,100.00%,--,--,+0.02%,--,--,--,--,--,12663483,13564545,0.934,--,无,无,-0.07,1.14,1108,-12291463,11.35,-0.028,垂直应用软件,软件开发,47.16,45.27,-4.01%,0.09%,53.99,45.27,+6.46%,+22.34%,+35.36%,+49.04%,18.49%,35493,42350,43998,+0.11,-1.55,--,436578840,436578840,-13266375亿,-917.2%,4.58,3,-4.10,--,--,--,20211228,
,SH603313,梦百合,--,+10.06%,7.99,+0.73,7.99,--,74092184,564258150,100↓,+0.00%,+11.13%,+5.16,12.99%,+100.00,4558989200,4558989200,100.00%,47435384,5936844,+0.00%,--,--,--,--,--,32198510,41893674,0.769,--,无,无,0.27,1.70,,-38112648,1.34,-0.070,成品家居,家居用品,7.26,7.19,-0.96%,0.16%,7.99,7.04,+33.61%,+28.46%,+50.47%,-10.22%,13.09%,5936844,--,54321,+0.02,3.79,--,570586890,570586890,-29340673亿,-164.9%,5.95,1,50.20,--,--,--,20161013,
