,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
,SZ300044,*ST赛为,--,+20.09%,5.14,+0.86,5.14,--,42707985,199825160,700↓,+0.00%,+20.66%,+10.77,5.97%,+100.00,3926287800,3677044000,93.65%,2527338,491700,+0.00%,--,--,--,--,--,19120649,23587336,0.811,--,无,无,0.36,1.53,,-10723829,,-0.070,IT服务,IT服务,4.28,4.26,-0.47%,0.02%,5.14,4.25,-0.58%,-9.98%,-14.33%,+28.82%,20.79%,491700,0,10633,--,8.43,--,763869230,715378200,-11107870亿,41.87%,-1.50,9,-134.75,--,--,--,20100120,
,SZ300269,联建光电,--,+20.04%,5.51,+0.92,5.51,--,32606000,172607050,3000↓,+0.00%,+20.31%,+4.71,6.20%,+100.00,3025617200,2896485900,95.73%,84469953,15330300,+0.00%,--,--,--,--,--,16928050,15677950,1.08,--,无,无,2.45,1.40,,-17237588,36.42,-0.031,LED,光学光电子,4.59,4.58,-0.22%,0.01%,5.51,4.56,+9.33%,+7.62%,+0.92%,-16.01%,20.70%,15330300,0,15124,--,50.69,--,549113830,525678030,-16585255亿,-285.4%,0.15,11,-155.85,--,--,--,20111012,
32,SH688728,格科微,--,+20.02%,21.04,+3.51,21.04,--,86827649,1765970400,1500↓,+0.00%,+16.50%,+4.00,3.47%,+100.00,54716343000,52576586000,96.09%,68210817,3241959,+0.00%,--,--,--,--,--,50114842,36712807,1.37,--,无,无,0.46,1.34,527.9,1410126,6.95,0.001,数字芯片设计,半导体,17.53,18.06,+3.02%,0.07%,21.04,17.89,+46.11%,+50.72%,+51.59%,+40.83%,17.97%,3241959,--,40946,+0.47,9.76,--,2600586700,2498887200,-11571281亿,102.7%,3.03,0,-7.64,--,--,--,20210818,
,SZ300270,中威电子,--,+20.02%,13.01,+2.17,13.01,--,23901883,298594710,400↓,+0.00%,+19.91%,+4.77,9.16%,+100.00,3939506400,3394702500,86.17%,62765665,4824417,+0.00%,--,--,--,--,--,11397783,12504100,0.912,--,无,无,1.30,1.55,,2028021,7.16,0.007,安防设备,计算机设备,10.84,10.85,+0.09%,0.02%,13.01,10.72,+13.53%,+9.51%,+3.50%,+18.70%,21.13%,4824417,0,22573,--,16.04,--,302806030,260930250,4803133亿,114.7%,1.82,7,16.23,--,--,--,20111012,
,SZ300540,蜀道装备,--,+20.01%,37.90,+6.32,37.90,--,36097620,1271793380,1000↓,+0.00%,+17.45%,+8.45,17.46%,+100.00,8625730400,7834961100,90.83%,4999010,131900,+0.00%,--,--,--,--,--,16884523,19213097,0.879,--,无,无,1.47,1.31,118.1,12287389,7.60,0.054,其他专用设备,专用设备,31.58,32.27,+2.18%,0.22%,37.90,32.27,+31.73%,+55.33%,+47.24%,+89.97%,17.83%,131900,0,73790,--,11.40,--,227591830,206727210,14061926亿,1973%,4.99,1,9.47,--,--,--,20160823,
32,SH688355,明志科技,--,+20.01%,19.25,+3.21,19.25,--,5014367,89205466,19184↑,+0.00%,+19.27%,+9.10,4.05%,+100.00,2386154400,2386154400,100.00%,628570,32653,+0.00%,--,--,--,--,--,2749358,2265009,1.21,--,无,无,0.53,3.38,34.14,3213166,2.16,0.030,金属制品,通用设备,16.04,16.14,+0.62%,0.00%,19.25,15.92,+8.82%,+9.69%,+0.94%,+11.27%,20.76%,32653,--,6279,+0.02,24.01,--,123956072,123956072,3356879亿,-75.66%,8.93,14,-122.41,--,--,--,20210512,
4,SZ300518,新迅达,--,+20.01%,33.05,+5.51,33.05,--,24251648,765496010,1400↑,+0.00%,+15.56%,+5.39,12.16%,+100.00,6590552600,6589261200,99.98%,8257741,249856,+0.00%,--,--,--,--,--,13156220,11095428,1.19,--,无,无,0.17,2.06,,-13703436,9.97,-0.070,互联网电商,互联网电商,27.54,28.60,+3.85%,0.09%,33.05,27.66,+5.93%,+25.09%,+11.66%,+88.86%,19.57%,249856,0,30320,--,1.29,--,199411580,199372500,-16762242亿,-31.97%,3.32,8,288.85,--,--,--,20160624,
4,SZ300873,海晨股份,--,+20.01%,33.77,+5.63,33.77,--,33128606,1066283600,13100↑,+0.00%,+20.61%,+5.63,19.78%,+100.00,7787253200,5656869600,72.64%,13187185,390500,+0.00%,--,--,--,--,--,16915512,16213094,1.04,--,无,无,0.88,4.01,37.41,1230197,2.42,0.005,物流,物流,28.14,28.00,-0.50%,0.02%,33.77,27.23,+31.97%,+43.15%,+51.64%,+53.71%,23.24%,390500,0,34767,--,3.73,--,230596780,167511690,3855730亿,-97.87%,13.95,3,364.06,--,--,--,20200824,
4,SZ301045,天禄科技,--,+20.01%,89.08,+14.85,89.08,--,9237288,765950320,500↓,+0.00%,+20.01%,+8.30,13.25%,+100.00,9827159300,6210304100,63.20%,37687966,423080,+0.00%,--,--,--,--,--,4727490,4509798,1.05,--,无,无,0.45,2.01,268.3,9648364,9.47,0.090,面板,光学光电子,74.23,74.23,+0.00%,0.05%,89.08,73.39,+42.53%,+51.01%,+74.19%,+237.04%,21.14%,423080,0,23265,--,3.17,--,110318358,69716032,10778003亿,76.45%,9.41,0,222.11,--,--,--,20210813,
4,SZ301607,富特科技,--,+20.00%,52.25,+8.71,52.25,--,25372944,1230888790,200↓,+0.00%,+19.89%,+8.59,16.72%,+100.00,12233226100,7931094200,64.83%,113734770,2176742,+0.00%,--,--,--,--,--,10250722,15122222,0.678,--,无,无,0.34,1.67,44.93,76954718,6.68,0.329,汽车电子电气系统,汽车零部件,43.54,43.58,+0.09%,0.08%,52.25,43.54,+16.14%,+33.12%,+38.34%,+83.08%,20.00%,2176742,0,67895,--,2.35,--,234128730,151791280,76020488亿,291.3%,7.82,7,398.84,--,--,--,20240904,
