,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
,SZ300780,德恩精工,--,+20.01%,32.32,+5.39,32.32,--,7401349,229718240,79900↑,+0.00%,+20.19%,+4.76,6.88%,+100.00,4740374400,3475471000,73.32%,104325728,3227900,+0.00%,--,--,--,--,--,4063550,3337799,1.22,--,无,无,1.49,0.80,,-10702271,4.73,-0.070,金属制品,通用设备,26.93,26.89,-0.15%,0.04%,32.32,26.80,+20.78%,+20.78%,-4.27%,+67.63%,20.50%,3227900,0,10687,--,20.85,--,146670000,107533137,-11340388亿,23.68%,6.83,5,161.01,--,--,--,20190531,
4,SZ301055,张小泉,--,+20.01%,40.12,+6.69,40.12,--,10101000,376005790,16700↑,+0.00%,+18.00%,+8.66,6.48%,+100.00,6258720000,6258720000,100.00%,48998556,1221300,+0.00%,--,--,--,--,--,4684100,5416900,0.865,--,无,有,0.50,2.97,87.86,29162820,8.93,0.190,其他家居用品,家居用品,33.43,34.00,+1.71%,0.02%,40.12,33.20,+20.55%,+19.98%,-1.47%,+104.59%,20.70%,1221300,0,25891,--,11.31,--,156000000,156000000,32265393亿,124.6%,4.49,4,-17.51,--,--,--,20210906,
32,SH688484,南芯科技,--,+20.00%,52.67,+8.78,52.67,--,39319342,1949717100,177↓,+0.00%,+18.95%,+7.03,9.19%,+100.00,22525019000,22525019000,100.00%,3823368,72591,+0.00%,--,--,--,--,--,17951872,21367470,0.840,--,无,无,0.29,2.80,126.2,3338307,5.40,0.010,模拟芯片设计,半导体,43.89,44.28,+0.89%,0.04%,52.67,44.01,+19.84%,+32.97%,+14.35%,+30.34%,19.73%,72591,--,64268,+0.20,3.33,--,427663170,427663170,3257346亿,-94.74%,9.76,6,-217.45,--,--,--,20230407,
96,SH688635,长进光子,--,+20.00%,509.99,+85.00,509.99,--,5695644,2714525200,620↑,+0.00%,+21.43%,+7.86,32.08%,+100.00,47770763000,9055646100,18.96%,139185450,272918,+0.00%,--,--,--,--,--,2740005,2955639,0.927,--,无,无,4.33,1.40,476.1,39850000,31.93,0.212,通信线缆及配套,通信设备,424.99,420.00,-1.17%,0.11%,509.99,418.00,-6.90%,-16.53%,--,+1144.49%,21.65%,272918,--,23850,--,11.59,--,93670000,17756517,22465554亿,30.98%,15.97,7,26.90,--,--,--,20260527,
4,SZ301000,肇民科技,--,+20.00%,35.22,+5.87,35.22,--,14656170,478452950,600↓,+0.00%,+20.99%,+8.77,6.38%,+100.00,8566230800,8086957000,94.41%,70142321,1991548,+0.00%,--,--,--,--,--,6847486,7808684,0.877,--,无,无,1.48,2.70,61.41,26794858,6.50,0.110,其他汽车零部件,汽车零部件,29.35,29.11,-0.82%,0.00%,35.22,29.00,+10.62%,+18.23%,-9.65%,-10.04%,21.19%,1991548,0,30734,--,34.11,--,243220640,229612640,30960351亿,-26.57%,5.42,10,-78.92,--,--,--,20210528,
,SZ300068,ST南都,--,+20.00%,4.56,+0.76,4.56,--,105217966,437956860,10000↓,+0.00%,+19.69%,+10.46,12.33%,+100.00,4096554900,3892788300,95.03%,29423856,6452600,+0.00%,--,--,--,--,--,43818751,61399215,0.714,--,无,无,1.93,2.27,,-304553810,3.72,-0.340,锂电池,电池,3.80,3.81,+0.26%,0.03%,4.56,3.76,+8.57%,-6.94%,-11.63%,-70.66%,21.05%,6452600,0,32782,--,23.28,--,898367300,853681650,-303750400亿,-14.36%,1.23,10,-398.53,--,--,--,20100421,
4,SZ301099,雅创电子,--,+20.00%,88.87,+14.81,88.87,--,13896952,1188040540,8000↑,+0.00%,+20.00%,+4.56,15.48%,+100.00,13034187600,7978782100,61.21%,42293855,475907,+0.00%,--,--,--,--,--,7752503,6144449,1.26,--,无,无,1.76,0.96,70.34,68423260,9.08,0.490,其他电子,其他电子,74.06,74.06,+0.00%,0.06%,88.87,73.00,+13.14%,+24.35%,+40.84%,+108.81%,21.43%,475907,0,36839,--,11.38,--,146665780,89780377,108773543亿,642.3%,9.79,7,873.96,--,--,--,20211122,
,SZ300843,胜蓝股份,--,+20.00%,117.62,+19.60,117.62,--,10802016,1192039150,8500↑,+0.00%,+20.02%,+7.41,6.73%,+100.00,19255294000,18878393000,98.04%,100753292,856600,+0.00%,--,--,--,--,--,5893933,4908083,1.20,--,无,无,0.90,1.52,163.4,36061152,11.82,0.220,消费电子零部件及组装,消费电子,98.02,98.00,-0.02%,0.01%,117.62,97.09,+34.96%,+35.54%,+13.84%,+128.57%,20.94%,856600,0,32498,--,12.45,--,163707650,160503260,38069197亿,19.63%,9.95,3,186.38,--,--,--,20200702,
4,SZ300964,本川智能,--,+20.00%,113.06,+18.84,113.06,--,8730707,917852340,29200↑,+0.00%,+19.45%,+8.42,15.59%,+100.00,8629675800,6332471000,73.38%,71442614,631900,+0.00%,--,--,--,--,--,3815568,4915139,0.776,--,无,无,1.81,1.67,258.8,11940637,8.46,0.156,印制电路板,元件,94.22,94.65,+0.46%,0.04%,113.06,93.00,+14.58%,+1.25%,+33.64%,+103.35%,21.29%,631900,0,31441,--,14.01,--,76328284,56009827,12786816亿,15.46%,13.37,6,44.62,--,--,--,20210805,
4,SZ301176,逸豪新材,--,+19.99%,81.50,+13.58,81.50,--,27323079,2158052800,200↓,+0.00%,+3.94%,+3.71,16.66%,+100.00,13778933000,13370369100,97.03%,1312884,16109,+0.00%,--,--,--,--,--,14474687,12848392,1.13,--,无,有,-1.00,2.28,,9390871,9.26,0.057,印制电路板,元件,67.92,78.41,+15.44%,0.51%,81.50,75.70,+84.01%,+89.53%,+83.06%,+223.80%,8.54%,16109,0,114096,--,-8.73,--,169066670,164053610,8919966亿,709.7%,8.80,1,610.17,--,--,--,20220928,
