,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
,SZ300780,德恩精工,--,+20.01%,32.32,+5.39,32.32,--,6953249,215235650,100↓,+0.00%,+20.19%,+5.07,6.47%,+100.00,4740374400,3475471000,73.32%,260444260,8058300,+0.00%,--,--,--,--,--,3615450,3337799,1.08,--,无,无,1.31,1.51,,-10702271,4.73,-0.070,金属制品,通用设备,26.93,26.89,-0.15%,0.04%,32.32,26.80,+20.78%,+20.78%,-4.27%,+67.63%,20.50%,8058300,0,10425,--,20.99,--,146670000,107533137,-11340388亿,23.68%,6.83,5,49.62,--,--,--,20190531,
4,SZ301099,雅创电子,--,+20.00%,88.87,+14.81,88.87,--,13386859,1142708580,100↓,+0.00%,+20.00%,+4.74,14.91%,+100.00,13034187600,7978782100,61.21%,155402170,1748646,+0.00%,--,--,--,--,--,7242410,6144449,1.18,--,无,无,1.53,1.85,70.34,68423260,9.08,0.490,其他电子,其他电子,74.06,74.06,+0.00%,0.06%,88.87,73.00,+13.14%,+24.35%,+40.84%,+108.81%,21.43%,1748646,0,35804,--,10.65,--,146665780,89780377,108773543亿,642.3%,9.79,7,807.92,--,--,--,20211122,
,SZ300843,胜蓝股份,--,+20.00%,117.62,+19.60,117.62,--,9376273,1024825750,200↓,+0.00%,+20.02%,+8.49,5.84%,+100.00,19255272000,18878371000,98.04%,149143570,1268012,+0.00%,--,--,--,--,--,4727390,4648883,1.02,--,无,无,0.69,2.63,163.4,36061152,11.82,0.220,消费电子零部件及组装,消费电子,98.02,98.00,-0.02%,0.01%,117.62,97.09,+34.96%,+35.54%,+13.73%,+128.57%,20.94%,1268012,0,29194,--,11.67,--,163707460,160503070,38069197亿,19.63%,9.95,3,138.07,--,--,--,20200702,
4,SZ300145,南方泵业,--,+19.96%,5.65,+0.94,5.65,--,215879450,1149819480,2000↓,+0.00%,+16.49%,+6.87,11.30%,+100.00,10849367500,10796182100,99.51%,72164614,12772498,+0.00%,--,--,--,--,--,103912141,111967309,0.928,--,无,有,1.49,2.12,43.32,80859380,3.65,0.042,其他通用设备,通用设备,4.71,4.85,+2.97%,0.06%,5.65,4.76,+0.53%,+27.25%,+8.24%,+20.99%,18.90%,12772498,0,74728,--,13.08,--,1920242000,1910828700,101351442亿,21.16%,1.55,9,-33.26,--,--,--,20101209,
32,SH688260,昀冢科技,--,+17.78%,113.45,+17.13,113.45,113.49,5512453,596505060,200↑,-0.04%,+13.45%,+5.44,4.59%,-72.07,13614000000,13614000000,100.00%,--,--,-0.10%,--,--,--,--,--,2704682,2807771,0.963,--,无,无,-0.48,1.48,,-52902596,84.30,-0.441,消费电子零部件及组装,消费电子,96.32,100.00,+3.82%,0.11%,114.48,99.30,+23.92%,+23.18%,+91.93%,+293.92%,15.76%,18,93,11969,+0.11,-10.21,--,120000000,120000000,-68937075亿,-1.31%,1.35,5,180.39,--,--,--,20210406,
4,SZ301055,张小泉,--,+17.47%,39.27,+5.84,39.18,39.27,8044100,293838690,800↑,+0.69%,+15.50%,+8.20,5.16%,-61.17,6126120000,6126120000,100.00%,--,--,+0.67%,--,--,--,--,--,3458000,4586100,0.754,--,无,无,0.21,4.73,85.99,29162820,8.74,0.190,其他家居用品,家居用品,33.43,34.00,+1.71%,0.02%,39.30,33.20,+18.00%,+17.43%,-3.56%,+100.26%,18.25%,200,300,22900,--,7.81,--,156000000,156000000,32265393亿,124.6%,4.49,4,-96.82,--,--,--,20210906,
4,SZ301000,肇民科技,--,+17.24%,34.41,+5.06,34.38,34.41,10814487,343416900,2300↓,-0.46%,+18.21%,+9.05,4.71%,-31.86,8369222100,7900970800,94.41%,--,--,-1.29%,--,--,--,--,--,4697103,6117384,0.768,--,无,无,0.59,3.98,60.00,26794858,6.35,0.110,其他汽车零部件,汽车零部件,29.35,29.11,-0.82%,0.00%,34.90,29.00,+7.33%,+14.66%,-12.22%,-12.11%,20.10%,4300,3900,26506,--,27.38,--,243220640,229612640,30960351亿,-26.57%,5.42,11,-177.69,--,--,--,20210528,
32,SH688143,长盈通,--,+16.74%,220.88,+31.68,220.90,222.00,7477983,1587110100,417↑,+0.00%,+17.71%,+4.57,6.11%,-38.55,28445104000,27030063000,95.03%,--,--,+0.77%,--,--,--,--,--,3621010,3856973,0.939,--,无,无,-0.37,1.77,1320,5898750,20.99,0.050,通信线缆及配套,通信设备,189.20,187.64,-0.82%,0.05%,227.04,187.32,+16.31%,+26.22%,+67.84%,+339.91%,20.99%,261,700,20777,+0.21,-5.39,--,128780802,122374426,6628621亿,-28.72%,10.52,7,211.76,--,--,--,20221212,
32,SH688549,中巨芯-U,--,+16.25%,31.41,+4.39,31.43,31.48,84744974,2543214100,1829--,+0.00%,+16.25%,+5.18,14.38%,-59.50,46401239000,18510510000,39.89%,--,--,-0.16%,--,--,--,--,--,41371001,43373973,0.954,--,无,无,0.09,0.98,,6376718,15.41,0.004,电子化学品,电子化学品,27.02,27.02,+0.00%,0.30%,31.97,27.00,+38.61%,+122.29%,+82.62%,+244.41%,18.39%,71,9587,83859,+0.34,0.62,--,1477276000,589319000,14157818亿,638.7%,2.04,4,-41.16,--,--,--,20230908,
4,SZ300570,太辰光,--,+15.93%,257.47,+35.37,257.47,257.48,29888561,7616877000,900↓,-0.09%,+5.06%,+1.18,15.55%,+45.45,58478354000,49483880000,84.62%,--,--,-0.19%,--,--,--,--,--,15306668,14581893,1.05,--,无,无,-1.04,1.79,204.9,65778844,33.06,0.290,通信网络设备及器件,通信设备,222.10,245.06,+10.34%,0.90%,263.00,245.06,+41.69%,+60.07%,+65.90%,+122.82%,8.08%,1400,900,116896,+2.50,-5.49,--,227126870,192192800,77459122亿,-17.12%,7.79,1,1567.16,--,--,--,20161206,
