,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
4,SZ301566,达利凯普,--,+20.01%,36.64,+6.11,36.64,--,34193114,1202967710,100↓,+0.00%,+16.32%,+4.78,16.20%,+100.00,14656366000,7734219400,52.77%,92677216,2529400,+0.00%,--,--,--,--,--,18234075,15959039,1.14,--,无,无,2.27,2.00,90.70,53944919,9.62,0.130,被动元件,元件,30.53,31.50,+3.18%,0.07%,36.64,31.20,+11.67%,+17.89%,+33.43%,+88.87%,17.82%,2529400,0,49118,--,13.56,--,400010000,211086770,62859233亿,4.75%,3.81,7,-290.21,--,--,--,20231229,
4,SZ300726,宏达电子,--,+20.00%,72.41,+12.07,72.41,--,25047942,1750913800,500↓,+0.00%,+14.01%,+4.16,11.68%,+100.00,29821323000,15527486000,52.07%,194124620,2680909,+0.00%,--,--,--,--,--,11964922,13083020,0.915,--,无,无,1.17,1.98,67.76,93938747,5.73,0.228,军工电子,军工电子,60.34,63.51,+5.25%,0.14%,72.41,63.51,+6.34%,+20.36%,+27.82%,+45.08%,14.75%,2680909,0,59253,+1.54,9.79,--,411839850,214438420,134550230亿,70.77%,12.64,4,475.09,--,--,--,20171121,
4,SZ300570,太辰光,--,+20.00%,222.10,+37.02,222.10,--,29568347,6296388700,1000↓,+0.00%,+9.29%,+4.95,15.38%,+100.00,50444877000,42686020000,84.62%,1089406720,4905028,+0.00%,--,--,--,--,--,14148805,15419542,0.918,--,无,无,1.39,1.88,176.8,65778844,28.52,0.290,通信网络设备及器件,通信设备,185.08,203.23,+9.81%,0.50%,222.10,203.01,+44.31%,+50.32%,+38.53%,+92.21%,10.31%,4905028,0,94703,+2.61,6.96,--,227126870,192192800,77459122亿,-17.12%,7.79,1,1527.05,--,--,--,20161206,
4,SZ300548,长芯博创,--,+20.00%,268.84,+44.81,268.84,--,24424388,6206286600,1500↓,+0.00%,+17.40%,+6.58,8.97%,+100.00,79214950000,73221834000,92.43%,489378320,1820333,+0.00%,--,--,--,--,--,10193729,14230659,0.716,--,无,无,1.05,2.90,211.1,130067296,37.49,0.441,通信网络设备及器件,通信设备,224.03,229.00,+2.22%,0.03%,268.84,229.00,+26.22%,+22.57%,+6.69%,+89.32%,17.78%,1820333,0,107017,+4.09,10.86,--,294654630,272362130,247781650亿,45.00%,7.17,9,832.10,--,--,--,20161012,
32,SH688603,天承科技,--,+20.00%,185.33,+30.89,185.33,--,6921014,1238907030,217↓,+0.00%,+15.83%,+4.09,14.59%,+100.00,23115196000,8788646400,38.02%,171673220,926311,+0.00%,--,--,--,--,--,3560911,3360103,1.06,--,无,无,0.18,2.44,236.7,29938628,18.90,0.240,电子化学品,电子化学品,154.44,160.00,+3.60%,0.10%,185.33,158.22,+4.38%,+15.91%,+28.88%,+147.24%,17.55%,926311,--,14980,+0.20,1.02,--,124724524,47421607,33180653亿,57.79%,9.81,8,945.05,--,--,--,20230710,
32,SH688167,炬光科技,--,+20.00%,398.26,+66.38,398.26,--,10931943,4101532400,200↓,+0.00%,+15.44%,+6.95,8.40%,+100.00,51829147000,51829147000,100.00%,204043330,512337,+0.00%,--,--,--,--,--,5381366,5550577,0.970,--,无,无,0.30,2.96,,-13202616,23.18,-0.101,分立器件,半导体,331.88,345.00,+3.95%,0.26%,398.26,342.02,-3.92%,-5.51%,-19.69%,+229.85%,16.95%,512337,--,33606,+0.45,2.79,--,130138971,130138971,-14301328亿,58.68%,17.18,2,842.37,--,--,--,20211224,
4,SZ301176,逸豪新材,--,+20.00%,67.92,+11.32,67.92,--,6335403,415139320,100↓,+0.00%,+10.42%,+4.23,3.86%,+100.00,11483008000,11142521100,97.03%,231281180,3405200,+0.00%,--,--,--,--,--,3840576,2494827,1.54,--,无,无,0.85,1.05,,9390871,7.72,0.057,印制电路板,元件,56.60,61.51,+8.67%,0.44%,67.92,61.51,+71.47%,+57.26%,+83.07%,+169.85%,11.33%,3405200,0,13900,--,20.67,--,169066670,164053610,8919966亿,709.7%,8.80,1,41.67,--,--,--,20220928,
32,SH688757,胜科纳米,--,+20.00%,50.76,+8.46,50.76,--,14108508,691288890,200↓,+0.00%,+16.02%,+4.17,7.79%,+100.00,20472091000,9198744800,44.93%,62972044,1240584,+0.00%,--,--,--,--,--,7219739,6888769,1.05,--,无,无,-0.02,3.29,354.4,7413359,22.86,0.018,专业服务,其他社会服务,42.30,43.75,+3.43%,0.04%,50.76,43.75,+21.64%,+37.45%,+42.42%,+92.93%,16.57%,1240584,--,16530,+0.18,-0.21,--,403311490,181220350,7051410亿,-35.64%,2.22,5,1045.57,--,--,--,20250325,
32,SH688090,瑞松科技,--,+20.00%,123.13,+20.52,123.12,123.13,10809638,1278392750,200↑,+0.29%,+17.39%,+4.74,8.85%,+0.54,15067426000,15033459000,99.77%,--,--,+0.19%,--,--,--,--,--,4203678,6605960,0.636,--,无,无,-0.53,3.15,501.8,20582670,16.28,0.170,机器人,自动化设备,102.61,104.89,+2.22%,0.04%,123.13,103.95,+17.49%,+45.94%,+42.15%,+176.82%,18.69%,1606,5463,21233,+0.13,-4.97,--,122370064,122094204,22710640亿,878.6%,7.56,7,679.66,--,--,--,20200217,
4,SZ301387,光大同创,--,+20.00%,116.95,+19.49,116.95,--,6668717,747799380,3800↓,+0.00%,+16.94%,+4.94,15.62%,+100.00,12484085500,4991931700,39.99%,73128835,625300,+0.00%,--,--,--,--,--,4035715,2633002,1.53,--,无,无,0.14,2.38,,-1577566,7.65,-0.015,消费电子零部件及组装,消费电子,97.46,100.01,+2.62%,0.04%,116.95,99.99,+19.43%,+28.02%,+26.98%,+111.10%,17.40%,625300,0,18536,--,0.79,--,106747204,42684324,-9743566亿,-108.9%,15.29,7,1078.87,--,--,--,20230418,
