,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
4,SZ301566,达利凯普,--,+20.01%,36.64,+6.11,36.64,--,34701614,1221599150,300↓,+0.00%,+16.32%,+4.71,16.44%,+100.00,14656366000,7734219400,52.77%,3356224,91600,+0.00%,--,--,--,--,--,18742575,15959039,1.17,--,无,无,2.40,1.01,90.70,53944919,9.62,0.130,被动元件,元件,30.53,31.50,+3.18%,0.07%,36.64,31.20,+11.67%,+17.89%,+33.28%,+88.87%,17.82%,91600,0,49694,--,13.96,--,400010000,211086770,62859233亿,4.75%,3.81,7,-320.89,--,--,--,20231229,
4,SZ301526,国际复材,--,+20.01%,34.13,+5.69,34.13,--,190443180,6147257500,500↓,+0.00%,+15.89%,+6.51,13.56%,+100.00,128700068000,47931930000,37.24%,1675783,49100,+0.00%,--,--,--,--,--,86652510,103790670,0.835,--,无,有,0.81,0.95,262.7,270188740,15.08,0.072,玻璃玻纤,建筑材料,28.44,29.45,+3.55%,0.18%,34.13,29.45,+55.28%,+59.78%,+82.51%,+387.57%,16.46%,49100,0,263153,+6.65,6.05,--,3770878000,1404392900,347726850亿,412.9%,2.26,0,-58.75,--,--,--,20231226,
4,SZ300726,宏达电子,--,+20.00%,72.41,+12.07,72.41,--,25711896,1798990700,100↓,+0.00%,+14.01%,+4.05,11.99%,+100.00,29821323000,15527486000,52.07%,3671187,50700,+0.00%,--,--,--,--,--,12628876,13083020,0.965,--,无,无,1.44,1.02,67.76,93938747,5.73,0.228,军工电子,军工电子,60.34,63.51,+5.25%,0.14%,72.41,63.51,+6.34%,+20.36%,+27.82%,+45.08%,14.75%,50700,0,60495,+1.54,11.49,--,411839850,214438420,134550230亿,70.77%,12.64,4,485.60,--,--,--,20171121,
4,SZ301373,凌玮科技,--,+20.00%,158.98,+26.50,158.98,--,12679009,1899064400,1800--,+0.00%,+15.20%,+6.94,31.09%,+100.00,17244893000,6483696900,37.60%,174878,1100,+0.00%,--,--,--,--,--,5879290,6799719,0.865,--,无,无,0.35,1.86,119.7,38280872,10.15,0.350,其他化学制品,化学制品,132.48,138.00,+4.17%,0.26%,158.98,133.06,+33.81%,+13.17%,+31.39%,+399.94%,19.57%,1100,0,40966,--,1.06,--,108472091,40783098,46532557亿,21.80%,15.67,4,1252.18,--,--,--,20230208,
4,SZ300570,太辰光,--,+20.00%,222.10,+37.02,222.10,--,30235357,6444531700,100↓,+0.00%,+9.29%,+4.84,15.73%,+100.00,50444877000,42686020000,84.62%,17901260,80600,+0.00%,--,--,--,--,--,14815815,15419542,0.961,--,无,无,1.60,0.96,176.8,65778844,28.52,0.290,通信网络设备及器件,通信设备,185.08,203.23,+9.81%,0.50%,222.10,203.01,+44.31%,+50.32%,+38.53%,+92.21%,10.31%,80600,0,96516,+2.61,7.63,--,227126870,192192800,77459122亿,-17.12%,7.79,1,1731.02,--,--,--,20161206,
4,SZ300548,长芯博创,--,+20.00%,268.84,+44.81,268.84,--,26291041,6708117600,42400↑,+0.00%,+17.40%,+6.11,9.65%,+100.00,79214950000,73221834000,92.43%,1102244,4100,+0.00%,--,--,--,--,--,12060382,14230659,0.848,--,无,无,1.32,1.56,211.1,130067296,37.49,0.441,通信网络设备及器件,通信设备,224.03,229.00,+2.22%,0.03%,268.84,229.00,+26.22%,+22.57%,+6.69%,+89.32%,17.78%,4100,0,112053,+4.09,12.05,--,294654630,272362130,247781650亿,45.00%,7.17,9,983.79,--,--,--,20161012,
96,SH688813,泰金新能,--,+20.00%,169.85,+28.31,169.85,--,3956900,640092420,1954↑,+0.00%,+12.98%,+5.71,13.16%,+100.00,27176000000,5108574400,18.80%,218087,1284,+0.00%,--,--,--,--,--,1611986,2344914,0.687,--,无,无,-0.82,1.01,154.5,54218979,15.17,0.450,其他专用设备,专用设备,141.54,150.33,+6.21%,0.22%,169.85,150.00,+7.36%,+4.34%,+24.09%,+546.31%,14.02%,1284,0,10594,--,-5.93,--,160000000,30076976,61254639亿,-34.19%,11.19,6,832.02,--,--,--,20260331,
32,SH688603,天承科技,--,+20.00%,185.33,+30.89,185.33,--,8975096,1619466700,2536↑,+0.00%,+15.83%,+3.17,18.93%,+100.00,23115196000,8788646400,38.02%,475001,2563,+0.00%,--,--,--,--,--,5210356,3764740,1.38,--,无,无,-0.49,1.58,236.7,29938628,18.90,0.240,电子化学品,电子化学品,154.44,160.00,+3.60%,0.10%,185.33,158.22,+4.38%,+15.91%,+28.88%,+147.24%,17.55%,2563,0,17999,+0.20,-1.95,--,124724524,47421607,33180653亿,57.79%,9.81,8,199.79,--,--,--,20230710,
32,SH688167,炬光科技,--,+20.00%,398.26,+66.38,398.26,--,11277973,4239342300,18125↑,+0.00%,+15.44%,+6.74,8.67%,+100.00,51829147000,51829147000,100.00%,5400406,13560,+0.00%,--,--,--,--,--,5727396,5550577,1.03,--,无,无,0.34,1.53,,-13202616,23.18,-0.101,分立器件,半导体,331.88,345.00,+3.95%,0.26%,398.26,342.02,+39.32%,+37.01%,+16.46%,+229.85%,16.95%,13560,0,34438,+0.45,2.92,--,130138971,130138971,-14301328亿,58.68%,17.18,2,1072.00,--,--,--,20211224,
4,SZ301217,铜冠铜箔,--,+20.00%,170.16,+28.36,170.16,--,41289763,6675398100,1000↓,+0.00%,+14.20%,+5.99,4.98%,+100.00,141065280000,141065280000,100.00%,5887536,34600,+0.00%,--,--,--,--,--,21075422,20214341,1.04,--,无,无,0.24,1.17,858.9,106347062,25.64,0.130,锂电池,电池,141.80,149.00,+5.08%,0.10%,170.16,147.00,+50.45%,+62.23%,+95.34%,+396.38%,16.33%,34600,0,142707,+7.28,4.34,--,829015540,829015540,127541695亿,2138%,6.64,1,144.14,--,--,--,20220127,
