,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
32,SH688163,赛伦生物,--,+20.01%,45.04,+7.51,45.04,--,5528820,231793850,39732↑,+0.00%,+19.15%,+8.30,5.11%,+100.00,4874228800,4874228800,100.00%,33864675,751880,+0.00%,--,--,--,--,--,2408694,3120126,0.772,--,无,无,0.46,2.98,100.3,567176,4.38,0.010,血液制品,生物制品,37.53,37.80,+0.72%,0.00%,45.04,36.75,+23.33%,+28.21%,+16.26%,+109.39%,22.09%,751880,--,7267,+0.04,9.65,--,108220000,108220000,420444亿,-84.90%,10.29,6,-84.36,--,--,--,20220311,
4,SZ301323,新莱福,--,+20.00%,103.78,+17.30,103.78,--,7150651,709019800,47200↑,+0.00%,+18.27%,+5.35,10.58%,+100.00,10957994200,7012099400,63.99%,22219298,214100,+0.00%,--,--,--,--,--,4025897,3124754,1.29,--,无,有,1.27,2.18,73.76,40741178,4.87,0.390,磁性材料,金属新材料,86.48,87.75,+1.47%,0.03%,103.78,86.75,+24.68%,+29.24%,+39.92%,+90.18%,19.69%,214100,0,20716,--,12.16,--,105588690,67566963,43817907亿,33.73%,21.31,4,10.22,--,--,--,20230606,
4,SZ300377,赢时胜,--,+20.00%,14.88,+2.48,14.88,--,85850489,1213709480,1100↓,+0.00%,+18.38%,+5.99,12.43%,+100.00,11174925800,10280921000,92.00%,34789440,2338000,+0.00%,--,--,--,--,--,46009916,39840573,1.15,--,无,无,2.66,3.64,,-87690387,4.64,-0.117,垂直应用软件,软件开发,12.40,12.57,+1.37%,0.02%,14.88,12.49,+11.63%,+9.49%,-11.00%,-34.01%,19.27%,2338000,0,68009,--,22.99,--,751003080,690922110,-99599103亿,-25.77%,3.20,10,-5.48,--,--,--,20140127,
4,SZ301176,逸豪新材,--,+19.99%,56.60,+9.43,56.60,--,15379468,813847190,22800↑,+0.00%,+18.68%,+7.81,9.37%,+100.00,9569173400,9285434200,97.03%,6622200,117000,+0.00%,--,--,--,--,--,9662222,5717246,1.69,--,无,有,1.44,1.45,,9390871,6.43,0.057,印制电路板,元件,47.17,47.69,+1.10%,0.07%,56.60,47.36,+36.25%,+22.40%,+53.06%,+124.87%,19.59%,117000,0,39923,--,17.65,--,169066670,164053610,8919966亿,709.7%,8.80,4,-46.96,--,--,--,20220928,
32,SH688010,福光股份,--,+19.99%,47.84,+7.97,47.84,--,23743301,1078052940,350↓,+0.00%,+16.68%,+6.11,14.79%,+100.00,7681265900,7681265900,100.00%,20487911,428259,+0.00%,--,--,--,--,--,12711447,11031854,1.15,--,无,无,1.64,3.25,530.9,-18062542,4.48,-0.115,光学元件,光学光电子,39.87,41.00,+2.83%,0.28%,47.84,41.00,+30.53%,+28.78%,+42.17%,+53.73%,17.16%,428259,--,30891,+0.07,9.89,--,160561580,160561580,-24359962亿,9.17%,10.68,4,-895.18,--,--,--,20190722,
4,SZ301348,蓝箭电子,--,+19.98%,30.02,+5.00,30.02,--,20293329,599149350,100↓,+0.00%,+2.18%,+1.98,13.08%,+100.00,7204800000,4657277900,64.64%,161531140,5380784,+0.00%,--,--,--,--,--,12638452,7654877,1.65,--,无,有,4.89,1.60,,-8035214,4.90,-0.034,集成电路封测,半导体,25.02,29.38,+17.43%,0.80%,30.02,28.01,+22.63%,+16.99%,+10.49%,+48.69%,8.03%,5380784,0,20685,--,32.15,--,240000000,155139170,-10325913亿,-10.22%,6.12,5,1131.96,--,--,--,20230810,
4,SZ300581,晨曦航空,--,+19.96%,13.16,+2.19,13.16,--,43648630,556281500,1000↓,+0.00%,+19.20%,+3.79,7.93%,+100.00,7239441600,7239441600,100.00%,34810753,2645194,+0.00%,--,--,--,--,--,30379514,13269116,2.29,--,无,无,3.24,2.73,,-10661224,7.91,-0.019,航空装备,军工装备,10.97,11.04,+0.64%,0.02%,13.16,10.94,+22.76%,+20.07%,+5.20%,-20.19%,20.24%,2645194,0,25605,--,37.27,--,550109550,550109550,-11487663亿,29.90%,1.66,6,-74.37,--,--,--,20161220,
32,SH688507,索辰科技,--,+19.95%,247.70,+41.20,247.70,247.71,14242161,3374903500,200↓,+0.00%,+17.03%,+5.20,28.93%,+40.31,22072246000,12195690300,55.25%,--,--,+0.00%,--,--,--,--,--,7372183,6869978,1.07,--,无,有,0.37,1.16,1673,-33940631,7.98,-0.380,垂直应用软件,软件开发,206.50,211.66,+2.50%,0.36%,247.80,211.00,+29.38%,+54.81%,+130.38%,+146.98%,17.82%,4211,1416,43153,+0.19,1.09,--,89108784,49235730,-50525134亿,-117.1%,31.05,4,3297.99,--,--,--,20230418,
68,SZ301656,联合动力,--,+19.07%,19.17,+3.07,19.17,19.19,34691191,632481680,3800↑,-0.73%,+17.61%,+5.83,17.04%,+1.28,46099842000,3903568300,8.47%,--,--,-0.73%,--,--,--,--,--,14338303,20352888,0.705,--,无,无,2.82,5.41,53.98,48534816,4.78,0.020,汽车电子电气系统,汽车零部件,16.10,16.30,+1.24%,0.02%,19.32,16.30,+8.06%,+7.35%,-1.89%,-27.38%,18.76%,3500,10600,47125,--,26.05,--,2404790900,203629020,16443665亿,-85.20%,4.01,12,-328.98,--,--,--,20250925,
4,SZ301275,汉朔科技,--,+18.44%,46.77,+7.28,46.75,46.77,17539980,765301100,300↓,+1.67%,+17.81%,+7.95,5.83%,+25.20,19755648000,14071186000,71.23%,--,--,+1.67%,--,--,--,--,--,6447932,11092048,0.581,--,无,无,0.43,3.23,40.93,180715790,4.75,0.429,其他电子,其他电子,39.49,39.70,+0.53%,0.00%,46.77,39.63,+8.87%,+4.63%,+5.77%,-12.28%,18.08%,9000,22600,48299,+0.95,11.48,--,422400000,300859230,220770790亿,20.68%,9.84,9,-70.01,--,--,--,20250311,
