,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
4,SZ301323,新莱福,--,+20.00%,103.78,+17.30,103.78,--,5561551,544552190,100↓,+0.00%,+18.27%,+6.78,8.23%,+100.00,10957994200,7012099400,63.99%,75763551,730040,+0.00%,--,--,--,--,--,2688797,2872754,0.936,--,无,有,0.84,3.40,73.76,40741178,4.87,0.390,磁性材料,金属新材料,86.48,87.75,+1.47%,0.03%,103.78,86.75,+24.68%,+29.24%,+39.92%,+90.18%,19.69%,730040,0,17611,--,12.19,--,105588690,67566963,43817907亿,33.73%,21.31,4,-18.70,--,--,--,20230606,
4,SZ300377,赢时胜,--,+20.00%,14.88,+2.48,14.88,--,75257617,1056226660,800↓,+0.00%,+18.38%,+6.82,10.89%,+100.00,11174925800,10280921000,92.00%,137759380,9258023,+0.00%,--,--,--,--,--,36873444,38384173,0.961,--,无,无,2.32,6.38,,-87690387,4.64,-0.117,垂直应用软件,软件开发,12.40,12.57,+1.37%,0.02%,14.88,12.49,+11.63%,+9.49%,-11.00%,-34.01%,19.27%,9258023,0,62661,--,23.94,--,751003080,690922110,-99599103亿,-25.77%,3.20,10,12.17,--,--,--,20140127,
4,SZ301176,逸豪新材,--,+19.99%,56.60,+9.43,56.60,--,12063172,626604270,2800↓,+0.00%,+18.68%,+9.87,7.35%,+100.00,9569173400,9285434200,97.03%,70133060,1239100,+0.00%,--,--,--,--,--,6710437,5352735,1.25,--,无,有,1.03,2.28,,9390871,6.43,0.057,印制电路板,元件,47.17,47.69,+1.10%,0.07%,56.60,47.36,+36.25%,+22.40%,+53.06%,+124.87%,19.59%,1239100,0,34150,--,18.52,--,169066670,164053610,8919966亿,709.7%,8.80,4,-73.21,--,--,--,20220928,
32,SH688010,福光股份,--,+19.99%,47.84,+7.97,47.84,--,20814144,937979280,200↓,+0.00%,+16.68%,+6.96,12.96%,+100.00,7681265900,7681265900,100.00%,62458612,1305573,+0.00%,--,--,--,--,--,10393430,10420714,0.997,--,无,无,1.48,5.70,530.9,-18062542,4.48,-0.115,光学元件,光学光电子,39.87,41.00,+2.83%,0.28%,47.84,41.00,+30.53%,+28.78%,+42.17%,+53.73%,17.16%,1305573,--,27949,+0.07,10.53,--,160561580,160561580,-24359962亿,9.17%,10.68,4,-825.60,--,--,--,20190722,
4,SZ301348,蓝箭电子,--,+19.98%,30.02,+5.00,30.02,--,18905287,557480330,300↓,+0.00%,+2.18%,+2.13,12.19%,+100.00,7204800000,4657277900,64.64%,358649720,11947026,+0.00%,--,--,--,--,--,11250410,7654877,1.47,--,无,有,4.21,2.98,,-8035214,4.90,-0.034,集成电路封测,半导体,25.02,29.38,+17.43%,0.80%,30.02,28.01,+22.63%,+16.99%,+10.49%,+48.69%,8.03%,11947026,0,19370,--,30.38,--,240000000,155139170,-10325913亿,-10.22%,6.12,5,1056.92,--,--,--,20230810,
4,SZ300581,晨曦航空,--,+19.96%,13.16,+2.19,13.16,--,38688337,491004040,4700↓,+0.00%,+19.20%,+4.27,7.03%,+100.00,7239441600,7239441600,100.00%,152102360,11557930,+0.00%,--,--,--,--,--,25419221,13269116,1.92,--,无,无,2.61,4.83,,-10661224,7.91,-0.019,航空装备,军工装备,10.97,11.04,+0.64%,0.02%,13.16,10.94,+22.76%,+20.07%,+5.20%,-20.19%,20.24%,11557930,0,23184,--,35.12,--,550109550,550109550,-11487663亿,29.90%,1.66,6,-84.94,--,--,--,20161220,
32,SH688772,珠海冠宇,--,+18.02%,19.19,+2.93,19.16,19.19,93370189,1672352100,6100↓,-0.10%,+15.95%,+7.87,8.25%,+18.78,21726644000,21726644000,100.00%,--,--,+0.47%,--,--,--,--,--,38703542,54666647,0.708,--,无,有,0.54,2.86,52.91,-84719658,3.02,-0.080,锂电池,电池,16.26,16.55,+1.78%,0.03%,19.25,16.51,+24.61%,+20.54%,+29.40%,-9.61%,16.85%,116,5382,79817,+0.17,7.53,--,1132185700,1132185700,-174719440亿,-257.5%,6.36,9,-267.61,--,--,--,20211015,
4,SZ301500,飞南资源,--,+17.65%,28.79,+4.32,28.75,28.79,21648298,593339040,1700↑,+0.31%,+15.67%,+5.65,15.03%,-12.29,16178598000,4147218700,25.63%,--,--,+0.91%,--,--,--,--,--,8652339,12995959,0.666,--,无,无,2.48,4.48,23.53,405413760,3.12,0.724,固废治理,环境治理,24.47,24.89,+1.72%,0.08%,29.36,24.89,+12.11%,+14.29%,-0.86%,+83.49%,18.27%,6200,1000,35408,--,20.50,--,561952000,144050670,390628900亿,7919%,9.23,10,-21.22,--,--,--,20230921,
32,SH688788,科思科技,--,+16.89%,38.48,+5.56,38.48,38.64,5096041,185879240,680↓,+0.00%,+16.01%,+6.09,2.33%,+24.62,8423432500,8423432500,100.00%,--,--,-0.49%,--,--,--,--,--,2276938,2819103,0.808,--,无,无,0.46,3.33,,-72588160,4.79,-0.332,军工电子,军工电子,32.92,33.17,+0.76%,0.01%,38.90,33.00,+23.59%,+22.43%,+0.43%,-20.00%,17.92%,2747,1037,10103,+0.06,35.39,--,218904170,218904170,-71363699亿,-24.40%,8.03,5,-186.64,--,--,--,20201022,
4,SZ300244,迪安诊断,--,+16.40%,19.52,+2.75,19.50,19.52,53356156,977798390,10800↑,-0.96%,+16.12%,+7.12,10.64%,-66.09,12199598600,9788480900,80.24%,--,--,-0.61%,--,--,--,--,--,19855107,33501049,0.593,--,无,无,0.61,6.28,94.25,64374318,1.87,0.105,其他医疗服务,医疗服务,16.77,16.81,+0.24%,0.01%,19.99,16.75,+16.05%,+10.53%,+4.22%,+23.15%,19.32%,8100,13200,60676,--,9.32,--,624979440,501459060,154682120亿,406.5%,10.44,7,-280.58,--,--,--,20110719,
32,SH688507,索辰科技,--,+16.21%,239.97,+33.47,239.97,239.98,12066232,2847302600,1106↓,+0.61%,+13.38%,+1.94,24.51%,-12.48,21383435000,11815098100,55.25%,--,--,+0.42%,--,--,--,--,--,6413982,5652250,1.13,--,无,有,0.41,1.97,1621,-33940631,7.73,-0.380,垂直应用软件,软件开发,206.50,211.66,+2.50%,0.36%,247.80,211.00,+25.34%,+49.98%,+123.19%,+139.28%,17.82%,1094,51,35882,+0.15,1.44,--,89108784,49235730,-50525134亿,-117.1%,31.05,4,3285.18,--,--,--,20230418,
32,SH688662,富信科技,--,+16.05%,148.55,+20.55,148.55,149.00,13225214,1943464400,600--,+1.88%,+7.64%,+1.25,14.99%,-7.56,13108052000,13108052000,100.00%,--,--,+1.75%,--,--,--,--,--,7624272,5600942,1.36,--,无,无,0.27,2.99,329.7,7386490,17.75,0.090,其他电子,其他电子,128.00,138.00,+7.81%,0.65%,153.60,133.54,+67.36%,+56.04%,+70.04%,+189.85%,15.67%,1300,19,23020,+0.09,1.40,--,88240000,88240000,9642026亿,5.06%,8.37,1,377.62,--,--,--,20210401,
32,SH688353,华盛锂电,--,+14.57%,93.08,+11.84,93.08,93.09,7233612,625600530,28747↑,+0.98%,+13.80%,+8.12,4.54%,-22.14,14846260000,14846260000,100.00%,--,--,+1.44%,--,--,--,--,--,3329743,3903869,0.853,--,无,无,0.58,3.66,96.81,97017036,4.21,0.630,电池化学品,电池,81.24,81.79,+0.68%,0.02%,93.09,81.24,+12.51%,+9.45%,-8.71%,-18.14%,14.59%,1547,200,18855,+0.10,16.69,--,159500000,159500000,111195015亿,325.2%,22.12,4,-182.80,--,--,--,20220713,
,SZ300719,安达维尔,--,+13.73%,14.00,+1.69,13.99,14.00,15131900,205995200,400↑,+0.72%,+12.45%,+3.14,8.43%,-77.42,3559180100,2514331800,70.64%,--,--,+0.72%,--,--,--,--,--,5317830,9814070,0.542,--,无,有,0.50,5.77,,-13734667,3.53,-0.054,航空装备,军工装备,12.31,12.45,+1.14%,0.01%,14.52,12.45,+11.11%,+13.18%,-5.53%,-22.69%,16.82%,6500,62800,18611,--,11.90,--,254227150,179595130,-18368829亿,-69.48%,3.97,7,-126.76,--,--,--,20171109,
4,SZ301276,嘉曼服饰,--,+12.95%,25.99,+2.98,25.88,25.98,3221334,80697953,500↑,+0.08%,+12.12%,+4.08,4.46%,-56.66,3368304000,1878235100,55.76%,--,--,+0.12%,--,--,--,--,--,1570660,1650674,0.952,--,无,无,0.30,3.69,30.28,50286643,1.55,0.390,服装,服装家纺,23.01,23.18,+0.74%,0.00%,25.99,23.18,+8.65%,+1.13%,-0.31%,-11.84%,12.21%,300,5800,8239,--,18.19,--,129600000,72267607,67035827亿,12.74%,16.76,7,-43.28,--,--,--,20220909,
32,SH688003,天准科技,--,+12.31%,107.33,+11.76,107.17,107.29,10931368,1181884380,522↑,+0.65%,+6.85%,-0.83,5.63%,+34.25,20856419000,20856419000,100.00%,--,--,+0.55%,--,--,--,--,--,4857737,6073631,0.800,--,无,有,0.06,2.30,184.4,4694735,10.56,0.024,其他自动化设备,自动化设备,95.57,100.45,+5.11%,0.03%,114.60,99.38,+2.22%,+5.79%,+11.86%,+83.78%,15.93%,669,100,28217,+0.12,1.26,--,194320500,194320500,-1142113亿,114.5%,10.17,3,271.13,--,--,--,20190722,
,SZ300084,海默科技,--,+12.00%,13.16,+1.41,13.15,13.16,30193280,384378500,1400↑,+0.23%,+10.59%,+3.65,8.47%,-7.72,7221680300,4693952400,65.00%,--,--,+0.15%,--,--,--,--,--,12970900,17222380,0.753,--,无,无,-0.16,3.08,,-16323952,5.30,-0.030,能源及重型设备,专用设备,11.75,11.90,+1.28%,0.06%,13.40,11.85,+10.31%,+9.48%,+2.33%,+31.73%,13.19%,1500,700,23359,--,-2.48,--,548759900,356683320,-14649492亿,12.13%,2.49,5,217.43,--,--,--,20100520,
,SZ300697,电工合金,--,+11.65%,16.87,+1.76,16.86,16.87,13931793,228714760,100↓,-0.06%,+9.69%,+3.00,4.21%,-50.60,7298636800,5588018800,76.56%,--,--,-0.18%,--,--,--,--,--,5386141,8545652,0.630,--,无,无,0.24,2.96,39.40,62404120,5.57,0.144,铜,工业金属,15.11,15.38,+1.79%,0.01%,17.48,15.31,+1.75%,+2.06%,+1.75%,+1.50%,14.36%,1300,900,22750,--,14.68,--,432640000,331240000,73023079亿,44.93%,3.03,10,-75.80,--,--,--,20170907,
4,SZ300085,银之杰,--,+11.62%,27.57,+2.87,27.57,27.58,59917110,1568523800,1900↑,+1.25%,+10.10%,+5.63,9.19%,-7.60,19482080000,17975995000,92.27%,--,--,+1.36%,--,--,--,--,--,28567630,31349480,0.911,--,无,无,0.43,1.94,,-21593306,46.42,-0.031,垂直应用软件,软件开发,24.70,25.04,+1.38%,0.05%,28.10,24.62,-7.58%,-28.72%,-29.97%,-31.23%,14.09%,900,1900,104256,--,6.70,--,706640540,652012860,-23162304亿,15.72%,0.59,0,-118.99,--,--,--,20100526,
