,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
32,SH688206,概伦电子,--,+20.01%,48.76,+8.13,48.76,--,24350723,1151606400,500↓,+0.00%,+14.81%,+3.61,5.58%,+100.00,21287584000,21287584000,100.00%,67254327,1379293,+0.00%,--,--,--,--,--,13258757,11091966,1.20,--,无,无,0.60,1.39,1041,-12291463,10.66,-0.028,垂直应用软件,软件开发,40.63,42.47,+4.53%,0.04%,48.76,42.47,+14.92%,+31.68%,+25.77%,+39.99%,15.48%,1379293,--,30851,+0.18,9.88,--,436578840,436578840,-13266375亿,-917.2%,4.58,6,242.26,--,--,--,20211228,
4,SZ301317,鑫磊股份,--,+20.00%,62.21,+10.37,62.21,--,6322543,368279850,3500↑,+0.00%,+21.81%,+7.64,12.11%,+100.00,9778789900,3247158800,33.21%,71764709,1153588,+0.00%,--,--,--,--,--,2921841,3400702,0.859,--,无,无,1.14,1.78,,-19416339,7.97,-0.130,其他通用设备,通用设备,51.84,51.07,-1.49%,0.01%,62.21,51.07,+10.46%,-4.00%,-2.77%,+94.77%,21.49%,1153588,0,22513,--,14.88,--,157190000,52196733,-18797840亿,-104.9%,7.80,9,-129.13,--,--,--,20230119,
32,SH688039,当虹科技,--,+20.00%,43.56,+7.26,43.56,--,8116903,335890030,300↓,+0.00%,+19.97%,+6.00,7.34%,+100.00,4817798000,4817798000,100.00%,27589641,633371,+0.00%,--,--,--,--,--,3598938,4517965,0.797,--,无,无,1.44,3.34,,-15213972,4.64,-0.140,IT服务,IT服务,36.30,36.31,+0.03%,0.01%,43.56,36.31,+22.84%,-0.89%,+3.47%,-2.66%,19.97%,633371,--,13127,+0.04,22.86,--,110601424,110601424,-20733363亿,-27.96%,9.39,8,78.27,--,--,--,20191211,
4,SZ301191,菲菱科思,--,+20.00%,135.01,+22.50,135.01,--,13809424,1699984900,100↓,+0.00%,+17.71%,+10.58,18.90%,+100.00,13082074800,9863524700,75.40%,127660461,945563,+0.00%,--,--,--,--,--,6760391,7049033,0.959,--,无,无,2.08,1.88,178.3,19175597,7.68,0.198,通信终端及配件,通信设备,112.51,114.70,+1.95%,0.13%,135.01,111.01,+39.19%,+21.44%,+39.31%,+76.12%,21.33%,945563,0,52107,--,11.70,--,96897080,73057734,18454624亿,78.92%,17.57,4,155.98,--,--,--,20220526,
,SZ300684,中石科技,--,+20.00%,74.41,+12.40,74.41,--,46569231,3357374900,3000↓,+0.00%,+18.49%,+3.73,22.79%,+100.00,22286481000,15202189000,68.21%,10354896,139160,+0.00%,--,--,--,--,--,24905398,21663833,1.15,--,无,无,1.94,2.29,65.24,64778747,9.99,0.216,电子化学品,电子化学品,62.01,62.80,+1.27%,0.06%,74.41,62.05,+32.76%,+22.38%,+31.23%,+53.49%,19.93%,139160,0,87339,--,7.29,--,299509220,204303030,71355213亿,4.94%,7.45,1,592.44,--,--,--,20171227,
32,SH688496,*ST清越,--,+19.77%,1.03,+0.17,1.03,--,19188192,19296294,2000↑,+0.00%,+15.73%,+2.83,8.06%,+100.00,463500000,245083970,52.88%,1301712,1263798,+0.00%,--,--,--,--,--,8800651,10387541,0.847,--,无,无,0.73,2.68,,-32448602,0.520,-0.070,面板,光学光电子,0.86,0.89,+3.49%,0.06%,1.03,0.88,+15.73%,-2.83%,-12.71%,-82.66%,17.44%,1263798,--,2136,--,10.15,--,450000000,237945600,-33980488亿,-103.0%,1.98,9,-641.81,--,--,--,20221228,
,SZ300716,*ST泉为,--,+19.07%,29.09,+4.66,29.09,29.10,12878077,359021330,63900↑,+0.03%,+18.73%,+4.96,8.05%,+43.82,4654981800,4654981800,100.00%,--,--,+0.03%,--,--,--,--,--,5834010,7044067,0.828,--,无,无,0.01,2.26,,-15097953,,-0.230,光伏电池组件,光伏设备,24.43,24.50,+0.29%,0.03%,29.30,24.50,+24.00%,+37.87%,+73.26%,+143.02%,19.65%,5500,21300,7218,--,0.12,--,160020000,160020000,-26564629亿,9.48%,-1.12,5,66.90,--,--,--,20171109,
32,SH688689,银河微电,--,+18.70%,80.75,+12.72,80.75,80.76,16343276,1238065320,500↑,+0.09%,+17.03%,+7.34,12.41%,+55.59,10632860700,10632860700,100.00%,--,--,+0.09%,--,--,--,--,--,8523320,7819956,1.09,--,无,无,0.29,0.99,115.4,18309588,8.24,0.139,分立器件,半导体,68.03,69.00,+1.43%,0.08%,80.80,69.00,+44.51%,+99.78%,+93.41%,+184.53%,17.35%,2725,500,36313,+0.09,2.59,--,131676294,131676294,18214453亿,200.1%,9.80,2,232.42,--,--,--,20210127,
32,SH688103,国力电子,--,+16.78%,85.26,+12.25,85.26,85.27,9066786,751003840,500↓,+0.11%,+19.23%,+3.33,9.51%,+20.00,8126605200,8126605200,100.00%,--,--,+0.11%,--,--,--,--,--,4334102,4732684,0.916,--,无,无,0.99,1.42,124.3,6724512,7.21,0.070,其他电子,其他电子,73.01,71.51,-2.05%,0.07%,87.61,71.51,+27.48%,+32.80%,+38.03%,+40.72%,22.05%,8567,500,20148,+0.06,10.87,--,95315566,95315566,7418237亿,-42.98%,11.82,1,-174.69,--,--,--,20210910,
32,SH688197,首药控股-U,--,+14.67%,43.00,+5.50,42.96,43.00,9902993,429065080,1900↓,-0.19%,+15.50%,-0.87,15.47%,-78.16,6394931700,2752209900,43.04%,--,--,-0.19%,--,--,--,--,--,5068906,4834087,1.05,--,无,无,0.84,3.99,,-15090754,9.62,-0.100,化学制剂,化学制药,37.50,37.23,-0.72%,0.02%,45.00,37.00,+26.99%,+35.78%,+29.64%,+23.78%,21.33%,2000,76220,14292,+0.04,5.09,--,148719340,64004882,-15090754亿,70.27%,4.47,1,216.52,--,--,--,20220323,
