,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
32,SH688496,*ST清越,--,+20.45%,1.06,+0.18,1.06,--,11260726,11523524,1000↓,+0.00%,+16.48%,+4.17,4.73%,+100.00,477000000,252222340,52.88%,2987716,2818600,+0.00%,--,--,--,--,--,4494680,6766046,0.664,--,无,无,0.49,1.15,,-32448602,0.535,-0.070,面板,光学光电子,0.88,0.91,+3.41%,0.12%,1.06,0.90,+1.92%,-10.17%,-24.82%,-82.15%,18.18%,2818600,--,1128,--,11.16,--,450000000,237945600,-33980488亿,-103.0%,1.98,9,-461.50,--,--,--,20221228,
,SZ301139,*ST元道,--,+20.10%,5.02,+0.84,5.02,--,24840568,117645103,5000↓,+0.00%,+20.96%,+6.79,32.61%,+100.00,610335620,382359080,62.65%,3317718,660900,+0.00%,--,--,--,--,--,9746950,15093618,0.646,--,无,无,3.81,1.46,,787476,0.314,0.010,通信工程及服务,通信服务,4.18,4.15,-0.72%,0.16%,5.02,4.11,+6.58%,-7.21%,-17.43%,-72.66%,21.77%,660900,0,11944,--,30.77,--,121580800,76167148,2789204亿,-92.60%,16.00,0,-901.07,--,--,--,20220708,
,SZ300561,汇金科技,--,+20.03%,15.28,+2.55,15.28,--,38557544,536093240,900↓,+0.00%,+17.72%,+10.81,16.00%,+100.00,5013489900,3683359700,73.47%,64940000,4250000,+0.00%,--,--,--,--,--,17242856,21314688,0.809,--,无,无,1.28,1.65,,-2837978,8.64,-0.009,垂直应用软件,软件开发,12.73,12.98,+1.96%,0.11%,15.28,12.74,+16.11%,+4.30%,-14.92%,+4.09%,19.95%,4250000,0,42370,--,11.46,--,328107980,241057570,-4489663亿,-309.8%,1.77,3,147.23,--,--,--,20161117,
4,SZ300882,万胜智能,--,+20.03%,18.04,+3.01,18.04,--,17924385,307607860,4500↑,+0.00%,+20.35%,+5.85,6.73%,+100.00,5163069400,4804539600,93.06%,14901311,826015,+0.00%,--,--,--,--,--,9577166,8347219,1.15,--,无,无,1.39,6.63,47.82,22299772,4.00,0.080,电气自控设备,电网设备,15.03,14.99,-0.27%,0.00%,18.04,14.88,+19.00%,+13.75%,-0.28%,-3.01%,21.02%,826015,0,23040,--,28.83,--,286201190,266327030,26117526亿,-39.25%,4.51,9,-67.19,--,--,--,20200910,
4,SZ301356,天振股份,--,+20.01%,28.73,+4.79,28.73,--,12552676,343301250,4800↑,+0.00%,+18.23%,+5.77,9.91%,+100.00,6205680000,3640019200,58.66%,5114515,178020,+0.00%,--,--,--,--,--,5785452,6767224,0.855,--,无,无,1.26,6.92,65.03,38661740,2.08,0.180,瓷砖地板,家居用品,23.94,24.30,+1.50%,0.01%,28.73,24.30,+25.40%,+27.97%,+9.07%,+35.58%,18.50%,178020,0,20328,--,14.89,--,216000000,126697500,38303143亿,40.73%,13.84,0,-375.29,--,--,--,20221114,
4,SZ301548,崇德科技,--,+20.00%,93.06,+15.51,93.06,--,4703918,407709520,5600↑,+0.00%,+18.52%,+8.23,17.93%,+100.00,8096220000,2441427400,30.16%,92557011,994595,+0.00%,--,--,--,--,--,2301825,2402093,0.958,--,无,无,2.94,3.01,55.52,39087993,5.12,0.450,金属制品,通用设备,77.55,78.52,+1.25%,0.01%,93.06,76.16,+28.89%,+17.53%,+5.74%,+69.48%,21.79%,994595,0,17873,--,20.57,--,87000000,26234982,45656358亿,40.56%,18.18,0,-1043.31,--,--,--,20230920,
4,SZ301071,力量钻石,--,+20.00%,91.92,+15.32,91.92,--,36545623,3264306800,1000↓,+0.00%,+8.78%,+3.39,18.95%,+100.00,23924231000,17728706000,74.10%,168204220,1829898,+0.00%,--,--,--,--,--,18502956,18042667,1.03,--,无,无,2.52,1.47,183.0,35975553,4.45,0.141,非金属材料,非金属材料,76.60,84.50,+10.31%,0.35%,91.92,84.50,+36.77%,+24.52%,+42.38%,+159.37%,9.69%,1829898,0,94145,--,12.51,--,260272310,192871040,52845849亿,147.1%,20.66,3,-56.35,--,--,--,20210924,
,SZ300243,瑞丰高材,--,+20.00%,23.46,+3.91,23.46,--,63900374,1416657700,40100↑,+0.00%,+17.59%,+6.60,28.57%,+100.00,6558526300,5246802200,80.00%,44174382,1882966,+0.00%,--,--,--,--,--,30354726,33545648,0.905,--,无,无,1.85,1.92,144.8,20235413,5.31,0.072,其他塑料制品,塑料制品,19.55,19.95,+2.05%,0.23%,23.46,19.94,+29.54%,+32.32%,+12.90%,+126.89%,18.01%,1882966,0,96618,--,8.74,--,279562070,223648860,24963172亿,283.0%,4.42,10,-115.33,--,--,--,20110712,
4,SZ300179,四方达,--,+20.00%,57.48,+9.58,57.48,--,108467162,6143041300,12400↑,+0.00%,+1.66%,+1.76,29.00%,+100.00,27919411000,21496478000,76.99%,109360471,1902583,+0.00%,--,--,--,--,--,58657987,49809175,1.18,--,无,无,2.49,1.51,273.9,42928895,21.96,0.088,磨具磨料,通用设备,47.90,56.54,+18.04%,0.83%,57.48,53.21,+44.75%,+21.78%,+78.95%,+287.85%,8.91%,1902583,0,184306,--,7.69,--,485723930,373981880,40123915亿,25.66%,2.62,4,1628.73,--,--,--,20110215,
32,SH688662,富信科技,--,+20.00%,171.49,+28.58,171.49,--,11931377,1950080100,9677↑,+0.00%,+8.09%,+5.63,10.40%,+100.00,19670871000,19670871000,100.00%,38357340,223671,+0.00%,--,--,--,--,--,6309120,5622257,1.12,--,无,无,0.12,0.69,494.7,7386490,26.64,0.064,其他电子,其他电子,142.91,158.66,+11.02%,0.32%,171.49,149.00,+48.23%,+152.31%,+160.41%,+338.43%,15.74%,223671,--,25539,+0.17,0.93,--,114705644,114705644,9642026亿,5.06%,6.44,0,-500.96,--,--,--,20210401,
