,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
4,SZ300454,深信服,--,+20.00%,106.56,+17.76,106.56,--,26226264,2653158600,100↓,+0.00%,+19.18%,+6.08,9.11%,+100.00,45986933000,30689593000,66.74%,176987420,1660918,+0.00%,--,--,--,--,--,11678907,14547357,0.803,--,无,无,1.60,3.02,79.57,-64503008,4.23,-0.150,横向通用软件,软件开发,88.80,89.41,+0.69%,0.01%,106.56,89.41,+10.12%,+10.32%,-0.30%,-7.38%,19.31%,1660918,0,83777,+2.44,18.40,--,431559060,288002940,-70260701亿,74.16%,25.19,13,342.39,--,--,--,20180516,
4,SZ300369,绿盟科技,--,+20.00%,6.48,+1.08,6.48,--,88985200,539650860,12400↓,+0.00%,+20.22%,+7.69,11.02%,+100.00,5252829800,5233914500,99.64%,41913042,6468062,+0.00%,--,--,--,--,--,40311827,48673373,0.828,--,无,无,2.57,3.69,,-98183143,2.05,-0.121,横向通用软件,软件开发,5.40,5.39,-0.19%,0.00%,6.48,5.36,+15.92%,+14.69%,+5.19%,-13.37%,20.74%,6468062,0,40639,--,26.52,--,810621890,807702860,-91481973亿,3.62%,3.16,8,-328.03,--,--,--,20140129,
4,SZ301321,翰博高新,--,+20.00%,49.81,+8.30,49.81,--,14161355,631378470,1770↓,+0.00%,+13.38%,+12.59,9.59%,+100.00,9286327400,7352746200,79.18%,108027181,2168785,+0.00%,--,--,--,--,--,8049937,6111418,1.32,--,无,无,0.62,1.92,,4610996,9.52,0.025,面板,光学光电子,41.51,43.93,+5.83%,0.04%,49.81,39.23,+13.31%,+31.25%,+70.29%,+161.47%,25.49%,2168785,0,36154,--,7.95,--,186435000,147615860,3227326亿,112.8%,5.23,8,10.61,--,--,--,20220818,
4,SZ301202,朗威股份,--,+19.99%,39.19,+6.53,39.19,--,4456912,169938660,100↓,+0.00%,+20.10%,+3.25,5.60%,+100.00,5345516000,3120209800,58.37%,98147514,2504402,+0.00%,--,--,--,--,--,2420392,2036520,1.19,--,无,无,1.63,1.74,83.11,17693420,4.40,0.130,其他通信设备,通信设备,32.66,32.63,-0.09%,0.00%,39.19,32.63,+18.94%,+6.32%,+6.44%,-2.51%,20.09%,2504402,0,7629,--,30.91,--,136400000,79617500,20756219亿,-13.24%,8.91,8,183.44,--,--,--,20230705,
4,SZ301251,威尔高,--,+19.99%,60.92,+10.15,60.92,--,22380255,1354131100,400↓,+0.00%,+2.85%,+0.82,29.61%,+100.00,11487324100,4604926200,40.09%,2435582,39980,+0.00%,--,--,--,--,--,14683426,7696829,1.91,--,无,无,1.85,3.89,221.8,6800100,7.39,0.036,印制电路板,元件,50.77,59.23,+16.66%,1.20%,60.92,58.83,+17.72%,+8.98%,+25.61%,+63.29%,4.12%,39980,0,33568,--,4.94,--,188564090,75589728,7965831亿,-69.53%,8.25,9,264.61,--,--,--,20230906,
4,SZ300017,网宿科技,--,+19.97%,14.66,+2.44,14.66,--,285298230,4050609700,2200↓,+0.00%,+11.23%,+3.78,12.18%,+100.00,36586739000,34325498000,93.82%,274251720,18707484,+0.00%,--,--,--,--,--,134605330,150692900,0.893,--,无,有,4.15,2.94,50.23,120746090,3.42,0.048,IT服务,IT服务,12.22,13.18,+7.86%,0.07%,14.66,12.91,+9.81%,+2.30%,+2.37%,+46.60%,14.32%,18707484,0,198481,+1.94,32.19,--,2495684800,2341439100,137688090亿,-37.06%,4.29,10,-97.61,--,--,--,20091030,
,SZ300588,熙菱信息,--,+17.19%,25.70,+3.77,25.69,25.70,23537316,590747100,1000↓,+0.00%,+9.88%,+2.74,13.31%,-21.50,4920805500,4544326200,92.35%,--,--,+0.00%,--,--,--,--,--,10834097,12703219,0.853,--,无,无,1.54,5.32,,-21584885,19.21,-0.114,安防设备,计算机设备,21.93,23.39,+6.66%,0.07%,26.32,23.39,+14.83%,+11.84%,+36.56%,-4.81%,13.36%,37700,43600,30619,--,13.37,--,191471030,176822030,-26798437亿,-43.72%,1.34,8,-60.86,--,--,--,20170105,
32,SH688508,芯朋微,--,+16.80%,98.09,+14.11,98.09,98.10,20392263,1915422300,200↑,-0.75%,+15.40%,+4.95,15.40%,+4.01,12989111700,12989111700,100.00%,--,--,-0.75%,--,--,--,--,--,11235654,9156609,1.23,--,无,无,0.83,2.97,81.72,13724244,4.69,0.104,模拟芯片设计,半导体,83.98,85.00,+1.21%,0.02%,100.78,80.09,+7.67%,+13.91%,+12.71%,+62.27%,24.64%,10532,300,43075,+0.10,5.09,--,132420346,132420346,10901167亿,-66.59%,20.91,11,232.38,--,--,--,20200722,
32,SH688691,灿芯股份,--,+15.87%,113.98,+15.61,113.96,113.98,26128684,2967830400,95↑,-0.19%,+10.31%,+0.40,35.81%,-94.34,13677600000,8316551800,60.80%,--,--,-0.19%,--,--,--,--,--,13113929,13014755,1.01,--,无,无,0.78,3.26,,-28529433,11.34,-0.240,集成电路制造,半导体,98.37,103.33,+5.04%,0.13%,118.04,103.33,+3.15%,+5.91%,+20.05%,+11.77%,14.95%,1200,68978,52552,+0.10,1.78,--,120000000,72965010,-28894624亿,-10.52%,10.05,9,2582.57,--,--,--,20240411,
32,SH688361,中科飞测,--,+14.41%,408.00,+51.40,407.02,408.00,14329343,5632777500,200↓,-0.32%,+11.78%,+4.18,4.09%,-92.95,143637080000,142866600000,99.46%,--,--,-0.32%,--,--,--,--,--,7730130,6599213,1.17,--,无,无,0.24,0.99,25418,-67962004,28.17,-0.193,半导体设备,半导体,356.60,365.00,+2.36%,0.02%,422.64,363.91,-3.32%,+30.63%,+100.91%,+166.68%,16.47%,500,1126,55636,+0.94,5.28,--,352051670,350163240,-76082962亿,-354.3%,14.49,4,-420.72,--,--,--,20230519,
