,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
4,SZ300166,东方国信,--,+20.03%,18.70,+3.12,18.70,--,197274880,3487301600,1000↓,+0.00%,+19.49%,+6.56,21.78%,+100.00,21294545000,16937695000,79.54%,116620680,6236400,+0.00%,--,--,--,--,--,87399345,109875535,0.795,--,无,无,5.85,2.86,,-27024079,3.73,-0.020,IT服务,IT服务,15.58,15.65,+0.45%,0.02%,18.70,15.65,+27.65%,+9.48%,+0.43%,+82.97%,19.58%,6236400,0,179899,--,29.32,--,1138745750,905759110,-30077327亿,0.881%,5.01,5,-737.31,--,--,--,20110125,
4,SZ300319,麦捷科技,--,+20.02%,27.76,+4.63,27.76,--,180389300,4580026100,800↓,+0.00%,+20.75%,+10.25,21.19%,+100.00,24639452000,23631261000,95.91%,151334200,5451520,+0.00%,--,--,--,--,--,83791281,96598019,0.867,--,无,有,1.55,1.09,81.82,47146597,5.00,0.053,被动元件,元件,23.13,22.99,-0.61%,0.20%,27.76,22.91,+33.40%,+43.37%,+109.62%,+139.66%,20.97%,5451520,0,219530,--,7.51,--,887588320,851270220,55773914亿,-24.38%,5.55,5,165.06,--,--,--,20120523,
32,SH688485,九州一轨,--,+20.01%,67.90,+11.32,67.90,--,13117050,835967300,900↑,+0.00%,+17.31%,+7.37,14.78%,+100.00,10204831000,6026666700,59.06%,11772502,173380,+0.00%,--,--,--,--,--,6255951,6861099,0.912,--,无,无,0.35,1.78,,-4352804,8.16,-0.030,综合环境治理,环境治理,56.58,57.88,+2.30%,0.06%,67.90,56.71,+29.56%,+29.09%,+23.77%,+280.61%,19.78%,173380,--,23537,+0.09,2.17,--,150292060,88757978,-6904964亿,27.75%,8.32,3,477.19,--,--,--,20230118,
32,SH688478,晶升股份,--,+20.01%,80.44,+13.41,80.44,--,5565633,430724050,8691↑,+0.00%,+11.72%,+4.55,4.02%,+100.00,11130168800,11130168800,100.00%,188654320,2345280,+0.00%,--,--,--,--,--,3473819,2091814,1.66,--,无,有,0.80,0.57,,-8759330,7.43,-0.060,半导体设备,半导体,67.03,72.00,+7.41%,0.28%,80.44,72.00,+32.72%,+35.03%,+27.93%,+115.02%,12.59%,2345280,--,7639,+0.10,15.82,--,138366100,138366100,-11585639亿,-245.8%,10.83,2,215.89,--,--,--,20230424,
32,SH688598,金博股份,--,+20.00%,59.75,+9.96,59.75,--,30520437,1774749800,200↓,+0.00%,+14.31%,+3.21,14.99%,+100.00,12402493700,12163643100,98.07%,50302689,841886,+0.00%,--,--,--,--,--,17422121,13098316,1.33,--,无,无,0.64,1.16,,-78613564,3.21,-0.380,光伏辅材,光伏设备,49.79,52.27,+4.98%,0.36%,59.75,52.27,+72.74%,+75.74%,+72.09%,+103.51%,15.02%,841886,--,29200,+0.11,3.07,--,207573120,203575620,-75536421亿,8.06%,18.59,0,-641.79,--,--,--,20200518,
4,SZ301580,爱迪特,--,+20.00%,63.17,+10.53,63.17,--,3480770,219880240,2660↑,+0.00%,+0.00%,+0.00,3.45%,+100.00,9424354500,6367632500,67.57%,234128870,3706330,+0.00%,--,--,--,--,--,3480770,0,--,--,无,无,1.45,0.20,46.38,38255204,4.34,0.256,医疗耗材,医疗器械,52.64,63.17,+20.00%,0.78%,63.17,63.17,+39.82%,+60.13%,+45.08%,+102.19%,0.00%,3706330,0,4257,--,27.21,--,149190350,100801528,42645608亿,22.33%,14.54,0,1046.39,--,--,--,20240626,
68,SZ301687,新广益,--,+20.00%,82.44,+13.74,82.44,--,11954708,920927270,18400↑,+0.00%,+13.79%,+7.87,40.48%,+100.00,12107468200,2434892200,20.11%,30554078,370622,+0.00%,--,--,--,--,--,5891932,6062776,0.972,--,无,无,4.07,2.31,96.84,26354232,7.89,0.179,膜材料,塑料制品,68.70,72.45,+5.46%,0.58%,82.44,70.28,+56.40%,+54.67%,+45.24%,+16.08%,17.70%,370622,0,29663,--,10.39,--,146864000,29535325,29602733亿,7.08%,10.44,0,2074.08,--,--,--,20251231,
4,SZ300943,春晖智控,--,+20.00%,41.40,+6.90,41.39,41.40,22010957,860910450,100↓,+0.00%,+20.98%,+6.63,16.50%,-74.21,8438148000,5523818000,65.46%,--,--,+0.00%,--,--,--,--,--,9889029,12121928,0.816,--,无,无,0.16,2.73,148.2,9501760,8.26,0.050,金属制品,通用设备,34.50,34.22,-0.81%,0.01%,41.40,34.10,+28.65%,+5.67%,+15.80%,+100.48%,21.16%,2800,37145,51507,--,1.22,--,203820000,133425555,9735316亿,-24.89%,5.01,3,221.00,--,--,--,20210210,
32,SH688671,碧兴物联,--,+20.00%,30.78,+5.13,30.78,--,5812185,169880840,2708↑,+0.00%,+20.28%,+6.05,12.41%,+100.00,2416811700,1441954400,59.66%,61299047,1991522,+0.00%,--,--,--,--,--,3675872,2136313,1.72,--,无,无,2.04,2.60,,-17148342,2.42,-0.220,环保设备,环保设备,25.65,25.59,-0.23%,0.03%,30.78,25.18,+31.26%,+22.00%,+22.39%,+24.26%,21.83%,1991522,--,7950,+0.02,17.25,--,78518900,46847122,-23366649亿,-67.72%,12.74,6,-31.21,--,--,--,20230809,
32,SH688515,裕太微-U,--,+20.00%,238.80,+39.80,238.80,--,7070294,1615257700,5711↑,+0.00%,+19.40%,+5.20,14.19%,+100.00,19104000000,11896872700,62.27%,96436037,403836,+0.00%,--,--,--,--,--,3564981,3505313,1.02,--,无,有,1.92,1.64,,-43257692,13.02,-0.540,模拟芯片设计,半导体,199.00,200.00,+0.50%,0.07%,238.80,200.00,+29.24%,+5.21%,+10.05%,+132.86%,19.50%,403836,--,19835,+0.17,11.08,--,80000000,49819400,-43257692亿,28.76%,18.34,2,629.64,--,--,--,20230210,
