,代码,名称,,涨幅,现价,涨跌,买价,卖价,总手,总金额,现手,1分钟涨速,实体涨幅,现均差%,换手,委比%,总市值,流通市值,流通比例,封单额_新,封单量_新,4分钟涨速,当日偏离值,异动偏离值,10日内偏离值,30日内偏离值,10日异动次数,内盘,外盘,内外比,备注,利空,利好,主力净量,量比,TTM市盈率,净利润,市净率,每股盈利,细分行业,所属行业,昨收,开盘,开盘涨幅,竞价换手,最高,最低,5日涨幅,10日涨幅,20日涨幅,年初至今,振幅,买量,卖量,笔数,贡献度,机构动向,异动类型,总股本,流通股本,利润总额,净利润增长率,每股净资产,金叉个数,散户数量,自选时间,自选价格,自选收益,上市日期,
32,SH688433,华曙高科,--,+15.00%,96.65,+12.61,96.65,96.67,10608802,1015325730,19487↑,+0.64%,+19.06%,+1.12,2.55%,-52.14,40165570000,40165570000,100.00%,--,--,+0.64%,--,--,--,--,--,4869128,5739674,0.848,--,无,无,0.11,1.75,628.1,-3643546,18.85,-0.009,其他通用设备,通用设备,84.04,81.18,-3.40%,0.01%,100.85,81.18,+23.28%,+12.55%,-11.97%,+46.18%,23.41%,714,577,24200,+0.27,4.23,--,415577550,415577550,-7092660亿,-358.4%,5.13,4,0.00,--,--,--,20230417,
32,SH688265,南模生物,--,+14.61%,40.40,+5.15,40.40,40.41,3597201,144725600,485↑,-0.71%,+13.32%,+0.47,4.61%,+31.48,3149725900,3149725900,100.00%,--,--,-0.71%,--,--,--,--,--,2043473,1553728,1.32,--,无,无,1.02,3.48,95.20,683636,1.84,0.009,医疗研发外包,医疗服务,35.25,35.65,+1.13%,0.00%,42.30,35.65,+17.48%,+13.56%,+26.84%,-1.19%,18.87%,9385,4000,6696,+0.02,31.19,--,77963513,77963513,395911亿,170.7%,21.97,5,-206.72,--,--,--,20211228,
32,SH688621,阳光诺和,--,+14.44%,58.00,+7.32,58.00,58.01,11096865,630935280,48643↑,-0.28%,+18.39%,+2.26,9.91%,-74.35,6496000000,6496000000,100.00%,--,--,-0.28%,--,--,--,--,--,4287724,6809141,0.630,--,无,无,-0.79,4.56,33.33,-22457700,5.18,0.180,医疗研发外包,医疗服务,50.68,48.99,-3.33%,0.06%,59.66,48.99,+18.13%,+2.87%,+11.97%,-6.40%,21.05%,3932,11824,22905,+0.04,-9.71,--,112000000,112000000,16442969亿,-30.25%,11.20,7,441.22,--,--,--,20210621,
4,SZ300255,常山药业,--,+13.71%,28.70,+3.46,28.69,28.70,93551700,2610417300,1500↓,+0.14%,+12.50%,+3.16,10.20%,+10.68,26377047000,26335791000,99.84%,--,--,+0.14%,--,--,--,--,--,46141565,47410135,0.973,--,无,有,1.13,1.73,,5871020,21.80,0.006,化学制剂,化学制药,25.24,25.51,+1.07%,0.05%,29.35,25.24,+28.99%,+14.39%,-2.28%,-53.78%,16.28%,1100,185300,189031,+1.00,17.04,--,919060880,917623380,5202915亿,55.21%,1.32,4,-223.82,--,--,--,20110819,
4,SZ300204,舒泰神,--,+13.68%,26.26,+3.16,26.26,26.27,74983335,1924372900,1000↓,+0.04%,+15.12%,+2.58,16.53%,+17.54,12546307300,11913229800,94.95%,--,--,+0.04%,--,--,--,--,--,33438886,41544449,0.805,--,无,无,1.82,1.68,,-8431807,15.49,-0.020,化学制剂,化学制药,23.10,22.81,-1.26%,0.11%,26.96,22.81,+10.57%,+4.37%,+27.72%,-3.88%,17.97%,28900,13100,116000,--,15.46,--,477772560,453664500,-9279546亿,-261.1%,1.70,6,-309.19,--,--,--,20110415,
,SZ300561,汇金科技,--,+13.12%,17.93,+2.08,17.93,17.94,52766109,907968690,300↓,+0.28%,+13.27%,+4.56,21.89%,+47.25,5882976000,4322162300,73.47%,--,--,+0.28%,--,--,--,--,--,24973631,27792478,0.899,--,无,无,0.68,1.31,,-2837978,10.14,-0.009,垂直应用软件,软件开发,15.85,15.83,-0.13%,0.21%,18.49,15.76,-2.08%,+5.84%,+32.52%,+22.14%,17.22%,10500,4800,58467,--,5.49,--,328107980,241057570,-4489663亿,-309.8%,1.77,3,-67.39,--,--,--,20161117,
32,SH688321,微芯生物,--,+12.58%,31.78,+3.55,31.71,31.78,45931581,1426858700,200↑,-0.22%,+13.46%,+2.53,11.26%,-89.92,14076674000,12960143000,92.07%,--,--,-0.22%,--,--,--,--,--,20165815,25765766,0.783,--,无,无,0.58,4.01,143.1,28271869,5.72,0.066,化学制剂,化学制药,28.23,28.01,-0.78%,0.01%,33.28,28.01,+20.47%,+11.67%,+26.82%,+8.98%,18.67%,700,2690,54258,+0.08,5.33,--,442941290,407808150,28652329亿,247.6%,5.56,4,-47.74,--,--,--,20190812,
,SZ300551,古鳌科技,--,+12.57%,9.94,+1.11,9.90,9.94,24552173,238819710,100↑,+0.51%,+13.21%,+2.41,7.24%,-16.35,3380224600,3370384200,99.71%,--,--,+0.51%,--,--,--,--,--,10948623,13603550,0.805,--,无,无,0.27,2.87,,-34480198,11.03,-0.100,其他计算机设备,计算机设备,8.83,8.78,-0.57%,0.01%,10.26,8.77,+11.94%,-1.00%,-12.50%,-40.26%,16.87%,2300,108509,33432,--,9.91,--,340062840,339072860,-36115755亿,31.71%,0.90,9,-43.32,--,--,--,20161018,
96,SH688796,百奥赛图,--,+12.38%,131.93,+14.53,131.93,131.97,4398574,565379460,500↓,+0.02%,+11.82%,+2.89,11.39%,+8.22,58959309000,5093487200,8.64%,--,--,+0.02%,--,--,--,--,--,1975290,2423284,0.815,--,无,无,0.79,1.75,203.0,104034500,25.84,0.230,医疗研发外包,医疗服务,117.40,117.98,+0.49%,0.04%,139.90,117.40,+27.53%,+8.13%,+49.33%,+150.82%,19.17%,7435,1230,13435,--,8.32,--,446898420,38607498,105289499亿,885.4%,5.11,2,-398.57,--,--,--,20251210,
4,SZ300765,石药创新,--,+12.33%,42.00,+4.61,41.99,42.00,33986742,1399395700,5500↓,+0.00%,+12.21%,+2.21,2.42%,-86.67,58992904000,58992904000,100.00%,--,--,+0.00%,--,--,--,--,--,16057732,17929010,0.896,--,无,有,-0.10,1.54,,-93854748,22.89,-0.067,原料药,化学制药,37.39,37.43,+0.11%,0.01%,43.40,37.43,+24.08%,+36.59%,+76.77%,+16.44%,15.97%,11100,311300,73076,+2.04,-4.94,--,1404592900,1404592900,-119605425亿,-248.9%,1.84,4,49.01,--,--,--,20190322,
